year,release_date,title,genre,international_box_office,domestic_box_office,worldwide_box_office
2019,November 22nd,When Lambs Become Lions,Documentary,859.00,9337.00,10196.00
2019,November 22nd,Te pido un taxi,Romantic Comedy,1640.00,n/a,1640.00
2019,May 7th,State Funeral,Documentary,36988.00,12424.00,49412.00
2019,November 22nd,Los sonÃ¡mbulos,Drama,13249.00,n/a,13249.00
2019,November 22nd,Tristeza e Alegria na Vida das Girafas,Adventure,16132.00,n/a,16132.00
2019,November 22nd,Two Heads Creek,Multiple Genres,10575.00,n/a,10575.00
2019,November 22nd,Somebody Up There Likes Me,Documentary,33072.00,n/a,33072.00
2019,November 22nd,Shooting the Mafia,Documentary,23015.00,9988.00,33003.00
2019,November 22nd,RSC Live: Timon of Athens,Concert/Performance,59829.00,n/a,59829.00
2019,November 22nd,Pasmerkti. PajÅ«rio dÅ¾iazas,Thriller/Suspense,525790.00,n/a,525790.00
2019,November 22nd,Pagalpanti,Comedy,283292.00,227714.00,511006.00
2019,November 22nd,Saint Cloud Hill,Documentary,,n/a,
2019,November 22nd,National Theatre Live: Present Laughter,Concert/Performance,2034202.00,n/a,2034202.00
2019,May 22nd,Military Wives,Drama,5088702.00,n/a,5088702.00
2019,November 22nd,Mi Vida,Drama,834375.00,n/a,834375.00
2019,November 22nd,Met Opera: Akhnaten,Concert/Performance,599879.00,n/a,599879.00
2019,November 22nd,Pirouette et le sapin de NoÃ«l,Adventure,684946.00,n/a,684946.00
2019,November 22nd,Mundina Nildana,Comedy,,n/a,
2019,November 22nd,Kessan! Chushingura,Comedy,8760116.00,n/a,8760116.00
2019,November 22nd,The Killing Floor,Drama,,1583.00,
2019,November 22nd,MalÃ¡ RÃ­Å¡a,Drama,15761.00,n/a,15761.00
2019,November 22nd,Julemandens datter,Drama,201174.00,n/a,201174.00
2019,November 22nd,Intemperie,Thriller/Suspense,618790.00,n/a,618790.00
2019,November 22nd,Joyeuse retraite!,Comedy,9816256.00,n/a,9816256.00
2019,November 22nd,El Hombre del Futuro,Drama,192.00,n/a,192.00
2019,November 22nd,Historias de nuestro cine,Documentary,1750.00,n/a,1750.00
2019,November 22nd,Here for Life,Documentary,2495.00,n/a,2495.00
2019,November 22nd,"Happy New Year, Colin Burstead",Drama,42329.00,n/a,42329.00
2019,November 22nd,Instrucciones para la poligamia,Comedy,292.00,n/a,292.00
2019,March 8th,Heimat ist ein Raum aus Zeit,Documentary,1397.00,n/a,1397.00
2019,November 22nd,Hala,Drama,,n/a,
2019,November 22nd,Les Ã©blouis,Drama,1428590.00,n/a,1428590.00
2019,November 22nd,George Reddy,Action,4013.00,n/a,4013.00
2019,November 22nd,Dark Waters,Drama,11971933.00,11136084.00,23108017.00
2019,November 22nd,El cuarto reino: El reino de los plÃ¡sticos,Documentary,328.00,n/a,328.00
2019,November 22nd,"Cetto c'Ã¨, senzadubbiamente",Comedy,5556301.00,n/a,5556301.00
2019,November 22nd,Cep HerkÃ¼lÃ¼: Naim SÃ¼leymanoglu,Drama,5577528.00,n/a,5577528.00
2019,November 22nd,The Courier,Action,10862200.00,n/a,10862200.00
2019,November 22nd,Cardinalul,Drama,31169.00,n/a,31169.00
2019,November 22nd,The Dustwalker,Drama,,n/a,
2019,November 22nd,Bian Hua Zhong De Zhong Guo: Sheng Huo Yin Ni Er Huo Re,Documentary,1380000.00,n/a,1380000.00
2019,November 22nd,Blue Story,Drama,5870623.00,n/a,5870623.00
2019,November 22nd,Android Kunjappan Version 5.25,Comedy,10225.00,n/a,10225.00
2019,November 22nd,A Beautiful Day in the Neighborhood,Drama,6853786.00,61696436.00,68550222.00
2019,November 22nd,Aman Reis DuymasÄ±n,Comedy,1398389.00,n/a,1398389.00
