sales_id;year;release_date;title;genre;international_box_office;domestic_box_office;worldwide_box_office
7450;2017;June 16th;Daeripgun;Drama;5579979;84532;5664511
7451;2015;July 31st;Best of Enemies;Documentary;48134;892802;940936
7452;2015;July 24th;Becks letzter Sommer;;61112;n/a;61112
7453;2017;May 25th;Goryeo Arirang: Cheonsanui Diba;Documentary;21012;n/a;21012
7454;2015;July 24th;Ba Li Jia Qi;Romantic Comedy;2549692;n/a;2549692
7455;2015;July 24th;Au fil d'Ariane;;143201;n/a;143201
7456;2015;July 24th;Ansatsu kyÃƒÂ´shitsu;Adventure;273970;n/a;273970
7457;2015;July 24th;Absolute Rest;Drama;6839;n/a;6839
7458;2015;March 11th;Barney Thomson;Black Comedy;1335034;n/a;1335034
7459;2015;July 24th;The Vatican Tapes;Horror;13144421;1784763;14929184
7460;2015;July 24th;7 Letters;Drama;;n/a;
7461;2015;July 24th;10 Cent Pistol;Thriller/Suspense;;n/a;
7462;2015;July 23rd;Sai Er Hao 5;Adventure;7400000;n/a;7400000
7463;2015;July 23rd;Aura star: attack of the temple;Adventure;1090000;n/a;1090000
7464;2015;July 22nd;Eiga YÃ…ï¿½kai Wotchi TanjÃ…ï¿½ no Himitsu da Nyan!;Adventure;4437777;n/a;4437777
7465;2015;July 24th;Only You;Romantic Comedy;9622002;61565;9683567
7466;2015;July 22nd;All Work All Play;Documentary;1430;n/a;1430
7467;2015;July 17th;Twinsters;Documentary;100575;n/a;100575
7468;2015;July 24th;Southpaw;Drama;41734503;52421953;94156456
7469;2015;August 7th;Assassination;Thriller/Suspense;95029617;1904682;96934299
7470;2015;September 11th;Hero;Drama;45337587;84961;45422548
7471;2015;July 17th;Trainwreck;Romantic Comedy;30911197;110212700;141123897
7472;2015;July 17th;Steak;Documentary;;8025;
7473;2016;May 27th;As I AM: The Life and Times of DJ Am;Documentary;;n/a;
7474;2016;May 27th;Algunas chicas;Thriller/Suspense;3564;n/a;3564
7475;2016;May 27th;Bobby;Documentary;13003;n/a;13003
7476;2016;May 27th;Chasing Asylum;Documentary;440413;n/a;440413
7477;2015;July 17th;Thomas & Friends: Sodor's Legend of the Lost Treasure;Adventure;3487449;n/a;3487449
7478;2016;May 27th;Alcaldessa;Documentary;12755;n/a;12755
7479;2016;May 27th;Abbas'in Melekleri;Comedy;4234;n/a;4234
7480;2016;May 27th;1 Kezban 1 Mahmut: Adana YollarÃ„Â±nda;Comedy;295684;n/a;295684
7481;2016;May 25th;Unlocking the Cage;Documentary;;27284;
7482;2016;May 25th;Mountain Cry;Drama;98059;n/a;98059
7483;2016;May 25th;Fiore;Drama;204694;n/a;204694
7484;2016;May 23rd;The Unknowns;Documentary;;29284;
7485;2016;May 20th;Ye Kong Que;Drama;5045207;n/a;5045207
7486;2016;October 21st;A Ga ssi;Drama;36564252;2006788;38571040
7487;2016;May 20th;Welcome to Happiness;Comedy;;n/a;
7488;2016;June 10th;Warcraft;Action;391534534;47365290;438899824
7489;2016;May 24th;Mimimalism: A Documentary About the Important Things;Documentary;;261865;
7490;2016;May 20th;A Vinganca de Uma Mulher;Drama;3355;n/a;3355
7491;2016;May 20th;Den unge Zlatan;Documentary;941572;n/a;941572
7492;2016;March 17th;Umi yori mo mada fukaku;Drama;5093294;272132;5365426
7493;2018;May 11th;Kande;Action;2839;n/a;2839
7494;2018;May 11th;Iruttu Arayil Murattu Kuthu;Horror;512;n/a;512
7495;2018;May 11th;Irumbu Thirai;Thriller/Suspense;59095;n/a;59095
7496;2018;May 11th;I Had Nowhere To Go;Documentary;;n/a;
7497;2018;May 18th;How to Talk to Girls at Parties;Comedy;297297;84809;382106
7498;2018;May 11th;Higher Power;Thriller/Suspense;;528;
7499;2018;May 11th;Hemsire;Drama;1573;n/a;1573
7500;2018;May 11th;Goodland;Thriller/Suspense;;16765;
7501;2018;June 13th;Five Seasons: The Gardens of Piet Oudolf;Documentary;63383;n/a;63383
7502;2016;May 20th;Weiner;Documentary;75924;1675196;1751120
7503;2018;May 11th;Filmworker;Documentary;10226;102609;112835
7504;2018;May 11th;Food on the Go;Documentary;536;n/a;536
7505;2018;May 11th;Elim Sende;;1176;n/a;1176
7506;2018;May 18th;Deadpool 2;Action;461770635;324591735;786362370
7507;2018;May 11th;Farewell, My Love;Drama;287404;n/a;287404
7508;2018;May 11th;The Dam Busters at 75: Live from The Royal Albert Hall;Concert/Performance;739536;n/a;739536
7509;2018;May 11th;Cargo;Drama;61864;n/a;61864
7510;2018;May 11th;Los Corroboradores;Thriller/Suspense;5813;n/a;5813
7511;2018;May 11th;Born Guilty;Romantic Comedy;;n/a;
7512;2018;May 11th;Una Ciudad De Provincia;Documentary;263;n/a;263
7513;2018;May 11th;Bhaskar Oru Rascal;Drama;11209;n/a;11209
7514;2018;May 11th;The AssassinÃ¢â‚¬â„¢s Code;Thriller/Suspense;42762;11218;53980
7515;2017;May 23rd;Restless Creature: Wendy Whelan;Documentary;;147780;
7516;2017;May 25th;Baywatch;Comedy;117803597;58060186;175863783
7517;2017;May 24th;Double Play;Drama;95931;n/a;95931
7518;2017;May 23rd;In Our Hands: The Battle for Jerusalem;Documentary;;n/a;
7519;2017;May 26th;Pirates of the Caribbean: Dead Men Tell No Tales;Adventure;622302918;172558876;794861794
7520;2017;May 23rd;I am a Doctor;Drama;1167451;n/a;1167451
7521;2017;May 21st;Counting for Thunder;Drama;;n/a;
7522;2017;July 7th;City of Ghosts;Documentary;82832;128015;210847
7523;2017;May 20th;The Three Little Pigs 2;Adventure;4015456;n/a;4015456
7524;2017;May 23rd;Nomoohyeonibnida;Documentary;13502122;n/a;13502122
7525;2017;May 19th;Wakefield;Drama;611588;262599;874187
7526;2017;May 19th;Venise sous la neige;Comedy;75023;n/a;75023
7527;2017;May 19th;Uma Vida ÃƒÂ  Espera;Drama;15577;n/a;15577
7528;2017;May 19th;Wrong-Way Driving;;5839;n/a;5839
7529;2017;May 19th;Teraz i w godzinÃ„â„¢ Ã…â€ºmierci;Documentary;44815;n/a;44815
7530;2017;May 19th;Tatara Samurai;;431640;n/a;431640
7531;2018;May 11th;Boom for Real: The Late Teenage Years of Jean-Michel Basquiat;Documentary;26904;166616;193520
7532;2017;November 3rd;Spaceship;Drama;12464;n/a;12464
7533;2017;May 19th;Sha Jiu Shen;Action;2350000;n/a;2350000
7534;2017;November 30th;Sicilian Ghost Story;Drama;188303;15285;203588
7535;2017;May 19th;RSC Live Antony & Cleopatra;Concert/Performance;341332;n/a;341332
7536;2015;July 17th;The Stanford Prison Experiment;Drama;18860;649690;668550
7537;2017;May 19th;Scare Campaign;Horror;80726;n/a;80726
7538;2017;May 19th;Sangili Bungili Kadhava Thorae;Horror;16525;n/a;16525
7539;2015;July 17th;Safelight;Drama;;n/a;
7540;2015;July 17th;Royal Opera House: La Boheme;Concert/Performance;15188;n/a;15188
7541;2015;July 17th;Rey Gitano;Comedy;1025646;n/a;1025646
7542;2015;July 17th;PokÃƒÂ©mon the Movie XY: Ring no Chomajin Hoopa;Action;21786128;n/a;21786128
7543;2015;July 17th;Mo 6/5 pak ma tha phi 3;Horror;146556;n/a;146556
7544;2015;July 17th;Lila & Eve;Drama;;38263;
7545;2015;October 30th;Love;Drama;565310;249665;814975
7546;2015;July 17th;Heil;Comedy;145404;n/a;145404
7547;2015;July 17th;Irrational Man;Comedy;25053237;4030360;29083597
7548;2015;July 17th;Famous Nathan;Documentary;;6048;
7549;2015;July 17th;Fidelio, l'odyssÃƒÂ©e d'Alice;Drama;26946;3580;30526
7550;2015;July 17th;Kkeut-kka-ji-gan-da;Thriller/Suspense;;16563;
7551;2015;July 17th;Goroskop na udachu;;907217;n/a;907217
7552;2015;July 17th;Exeter;Horror;489792;n/a;489792
7553;2015;July 17th;Desaster;Comedy;95309;n/a;95309
7554;2015;July 17th;De ReÃƒÂ¼nie;Horror;770734;n/a;770734
7555;2015;July 17th;The Ecstasy of Wilko Johnson;Documentary;50681;n/a;50681
7556;2015;July 17th;Dawn of the Crescent Moon;Thriller/Suspense;;8799;
7557;2015;July 17th;Dedushka Moyey Mechty;;61966;n/a;61966
7558;2016;May 20th;Tout, tout de suite;Drama;63970;n/a;63970
7559;2016;May 20th;This Time;Drama;45941;n/a;45941
7560;2016;May 20th;The Silent Storm;Drama;5418;n/a;5418
7561;2016;May 20th;Thomas & Friends: The Great Race;Adventure;3723004;n/a;3723004
7562;2016;May 20th;Teukbyeolsusa: Sahyoungsuui Pyeonji;Thriller/Suspense;9037565;n/a;9037565
7563;2016;May 20th;Sarbjit;Drama;130087;n/a;130087
7564;2016;May 20th;Plastic Surgeon - Hunted Face;Thriller/Suspense;2150000;n/a;2150000
7565;2016;May 20th;Paris Opera & Ballet: Iolanta/ The Nutcracker;Concert/Performance;4887;n/a;4887
7566;2016;May 20th;Marudhu;Action;7741;n/a;7741
7567;2016;May 20th;El rei borni;Comedy;45572;n/a;45572
7568;2016;May 20th;The Other Side;Documentary;;8074;
7569;2016;May 20th;Misafir;Drama;1890;n/a;1890
7570;2016;May 20th;Marina Abramovic In Brazil: The Space In Between;Documentary;65227;n/a;65227
